user_id,age,days_as_customer,total_payment_amount,total_payments_count,avg_payment_amount,days_since_last_activity,total_activity_duration,avg_activity_duration,label
0,58,491,330,5,66.0,-183,495,70.71428571428571,0
1,65,395,443,9,49.22222222222222,-199,862,66.3076923076923,0
2,32,440,671,13,51.61538461538461,-137,1424,71.2,0
3,24,195,634,9,70.44444444444444,-29,928,66.28571428571429,0
4,52,473,447,10,44.7,-139,1447,76.15789473684211,0
5,45,522,461,9,51.22222222222222,-103,348,69.6,0
6,23,425,313,6,52.166666666666664,36,470,78.33333333333333,1
7,50,249,510,10,51.0,-4,320,45.714285714285715,0
8,53,410,840,14,60.0,-107,406,58.0,0
9,59,171,314,6,52.333333333333336,-41,273,54.6,0
10,44,418,526,9,58.44444444444444,-141,410,82.0,0
11,55,377,428,9,47.55555555555556,-166,359,59.833333333333336,0
12,18,441,558,9,62.0,-181,197,39.4,0
13,45,363,422,9,46.888888888888886,-45,399,57.0,0
14,27,408,833,13,64.07692307692308,-153,668,51.38461538461539,0
15,39,489,437,9,48.55555555555556,-189,619,61.9,0
16,42,480,735,11,66.81818181818181,-202,204,40.8,0
17,40,241,312,8,39.0,-181,689,62.63636363636363,0
18,69,499,428,8,53.5,-133,501,45.54545454545455,0
19,47,276,678,12,56.5,-160,788,43.77777777777778,0
20,42,474,373,7,53.285714285714285,-197,1089,57.31578947368421,0
21,36,199,376,9,41.77777777777778,112,333,66.6,1
22,41,243,621,11,56.45454545454545,22,239,47.8,0
23,63,490,346,8,43.25,-105,523,74.71428571428571,0
24,60,408,435,8,54.375,-127,993,66.2,0
25,36,464,767,14,54.785714285714285,-182,802,61.69230769230769,0
26,32,479,497,7,71.0,-126,1189,74.3125,0
27,35,290,901,16,56.3125,-184,352,44.0,0
28,41,452,264,5,52.8,-113,362,51.714285714285715,0
29,40,411,373,6,62.166666666666664,14,300,60.0,0
30,35,167,484,8,60.5,-178,1006,71.85714285714286,0
31,59,472,554,9,61.55555555555556,-43,285,47.5,0
32,58,446,901,15,60.06666666666667,-164,609,55.36363636363637,0
33,64,427,544,12,45.333333333333336,-199,398,44.22222222222222,0
34,47,333,779,17,45.8235294117647,-168,1081,60.05555555555556,0
35,58,171,550,10,55.0,-155,376,41.77777777777778,0
36,32,208,465,7,66.42857142857143,-148,1131,62.833333333333336,0
37,67,515,327,7,46.714285714285715,-151,514,57.111111111111114,0
38,70,497,181,5,36.2,112,465,66.42857142857143,1
39,38,333,531,11,48.27272727272727,-27,624,62.4,0
40,22,414,1054,18,58.55555555555556,-163,520,65.0,0
41,63,365,573,10,57.3,-203,834,64.15384615384616,0
42,59,298,635,11,57.72727272727273,-128,971,60.6875,0
43,59,306,858,13,66.0,-196,755,58.07692307692308,0
44,34,456,416,9,46.22222222222222,-163,556,61.77777777777778,0
45,65,262,329,8,41.125,-91,662,66.2,0
46,34,170,782,14,55.857142857142854,-131,784,52.266666666666666,0
47,45,237,486,10,48.6,-58,716,65.0909090909091,0
48,41,428,321,5,64.2,-87,561,70.125,0
49,50,308,926,15,61.733333333333334,-198,345,38.333333333333336,0
50,66,495,903,16,56.4375,-186,781,65.08333333333333,0
51,25,443,399,8,49.875,-109,680,75.55555555555556,0
52,28,205,533,12,44.416666666666664,-174,1130,62.77777777777778,0
53,56,479,445,8,55.625,-200,535,76.42857142857143,0
54,42,235,385,7,55.0,-202,1133,66.6470588235294,0
55,51,385,633,12,52.75,-174,1249,65.73684210526316,0
56,18,195,507,11,46.09090909090909,-170,833,83.3,0
57,25,201,318,6,53.0,-163,646,58.72727272727273,0
58,66,378,229,5,45.8,-96,888,55.5,0
59,59,368,340,8,42.5,-137,748,74.8,0
60,36,336,865,16,54.0625,-93,676,52.0,0
61,47,499,788,14,56.285714285714285,-124,841,70.08333333333333,0
62,64,386,548,12,45.666666666666664,-154,1049,55.21052631578947,0
63,66,447,609,9,67.66666666666667,-134,1421,78.94444444444444,0
64,24,209,229,6,38.166666666666664,-201,1102,58.0,0
65,58,260,886,15,59.06666666666667,-141,801,66.75,0
