user_id,age,registration_date
0,58,2025-02-01
1,65,2025-05-08
2,32,2025-03-24
3,24,2025-11-24
4,52,2025-02-19
5,45,2025-01-01
6,23,2025-04-08
7,50,2025-10-01
8,53,2025-04-23
9,59,2025-12-18
10,44,2025-04-15
11,55,2025-05-26
12,18,2025-03-23
13,45,2025-06-09
14,27,2025-04-25
15,39,2025-02-03
16,42,2025-02-12
17,40,2025-10-09
18,69,2025-01-24
19,47,2025-09-04
20,42,2025-02-18
21,36,2025-11-20
22,41,2025-10-07
23,63,2025-02-02
24,60,2025-04-25
25,36,2025-02-28
26,32,2025-02-13
27,35,2025-08-21
28,41,2025-03-12
29,40,2025-04-22
30,35,2025-12-22
31,59,2025-02-20
32,58,2025-03-18
33,64,2025-04-06
34,47,2025-07-09
35,58,2025-12-18
36,32,2025-11-11
37,67,2025-01-08
38,70,2025-01-26
39,38,2025-07-09
40,22,2025-04-19
41,63,2025-06-07
42,59,2025-08-13
43,59,2025-08-05
44,34,2025-03-08
45,65,2025-09-18
46,34,2025-12-19
47,45,2025-10-13
48,41,2025-04-05
49,50,2025-08-03
50,66,2025-01-28
51,25,2025-03-21
52,28,2025-11-14
53,56,2025-02-13
54,42,2025-10-15
55,51,2025-05-18
56,18,2025-11-24
57,25,2025-11-18
58,66,2025-05-25
59,59,2025-06-04
60,36,2025-07-06
61,47,2025-01-24
62,64,2025-05-17
63,66,2025-03-17
64,24,2025-11-10
65,58,2025-09-20
66,30,2025-03-12
67,66,2025-03-18
68,67,2025-09-01
69,56,2025-06-16
70,19,2025-02-12
71,69,2025-05-08
72,21,2025-04-19
73,23,2025-02-24
74,49,2025-02-25
75,52,2025-03-05
76,60,2025-08-18
77,28,2025-05-17
78,56,2025-07-07
79,52,2025-12-23
80,30,2025-12-10
81,43,2025-11-21
82,41,2025-08-17
83,46,2025-02-08
84,32,2025-02-11
85,19,2025-10-18
86,32,2025-10-08
87,18,2025-02-23
88,58,2025-01-08
89,22,2025-01-28
90,39,2025-02-17
91,33,2025-05-22
92,49,2025-04-18
93,26,2025-12-19
94,54,2025-08-08
95,68,2025-08-26
96,44,2025-04-04
97,24,2025-11-14
98,40,2025-07-14
99,47,2025-12-02
100,61,2025-11-21
101,24,2025-01-13
102,64,2025-06-26
103,24,2025-04-07
104,30,2025-09-15
105,26,2025-07-06
106,35,2025-08-08
107,22,2025-08-26
108,53,2025-02-02
109,59,2025-09-27
110,18,2025-02-25
111,33,2025-03-14
112,49,2025-08-07
113,43,2025-01-06
114,42,2025-01-13
115,34,2025-08-10
116,45,2025-12-24
117,68,2025-09-22
118,63,2025-08-05
119,30,2025-05-07
120,21,2025-10-24
121,52,2025-01-24
122,38,2025-01-02
123,55,2025-08-17
124,51,2025-03-02
125,50,2025-02-28
126,29,2025-02-20
127,22,2025-11-28
128,33,2025-07-04
129,54,2025-04-19
130,56,2025-01-20
